name,ra,dec,dist,mag,ci,spect
HIP 69671,213.911055,-45.000756,21.2179,6.31,0.596,F9V
Arcturus,213.915450,19.18241,11.2575,-0.05,1.239,K2IIIp
Syrma,214.003620,-6.000547,22.237,4.07,0.511,F7V
HIP 69824,214.351545,45.444483,19.0114,10.19,1.391,M0
HIP 69962,214.742835,-6.603646,21.7533,9.1,1.29,K7V
HIP 69965,214.753830,-25.815426,18.0343,5.87,0.518,F7Vw
HIP 69972,214.771215,-59.379037,11.798,6.66,1.017,K3V
HIP 70016,214.895280,-5.151195,20.8812,7.58,0.867,K1V
HIP 70185,215.394045,-16.258501,9.7418,13.45,,
HIP 70218,215.488635,29.629618,14.3472,8.56,1.275,K5V
HIP 70308,215.776410,-68.382656,23.4687,10.25,1.429,M1V:
HIP 70319,215.813685,1.241569,17.191,6.25,0.639,G1V
HIP 70475,216.233250,8.887619,14.2796,12.23,1.613,M:
HIP 70497,216.299505,51.850744,14.5307,4.04,0.497,F7V
HIP 70529,216.430980,23.617083,16.3639,9.77,1.419,M1
HIP 70536,216.444210,23.620474,16.0488,9.98,1.452,M2
HIP 70849,217.327395,-46.463816,23.5738,10.36,1.427,K5
HIP 70857,217.343865,80.809852,19.8926,6.88,0.774,G5
HIP 70865,217.373835,15.532641,14.0076,10.67,1.471,M3
HIP 70873,217.403235,41.795911,23.7417,6.36,0.702,G5V
Proxima Centauri,217.439775,-62.679485,1.2959,11.01,1.807,M5Ve
HIP 70950,217.687680,35.453751,22.7221,8.68,1.031,K3V
HIP 70956,217.698855,-8.646337,16.9866,9.4,1.403,K7V
HIP 70975,217.754865,-12.2961,10.8178,11.92,1.591,M4
HIP 71181,218.370585,52.90879,13.2188,7.24,0.997,K3V
HIP 71253,218.570070,-12.519555,6.061,11.32,1.633,M4
HIP 71284,218.670000,29.74513,15.8328,4.47,0.364,F3Vwvar
HIP 71311,218.741235,33.746726,20.2306,9.54,1.283,K8
HIP 71395,219.002325,9.746518,16.5017,7.48,0.973,K0
Toliman,219.905190,-60.8383,1.3248,1.35,0.9,K1V
Rigil Kentaurus,219.911475,-60.833976,1.3248,-0.01,0.71,G2V
HIP 71743,220.129620,-16.20929,23.6798,7.24,0.71,G6V
HIP 71855,220.467735,-75.139479,19.996,6.73,0.707,G5V
HIP 71898,220.590975,66.055742,10.7331,10.88,1.615,M3
HIP 71908,220.627380,-64.975138,16.57,3.18,0.256,F1Vp
HIP 71914,220.640235,19.479783,21.5796,9.1,1.29,M0
HIP 71957,220.765095,-5.658207,18.2715,3.87,0.385,F2III
HIP 72146,221.350770,13.846315,18.8964,7.87,0.931,K0
HIP 72237,221.597010,16.496704,17.2414,9.23,1.261,K5V
HIP 72312,221.817090,2.703224,19.3723,7.76,0.893,G8V
HIP 72387,222.005985,38.466237,24.2014,9.73,1.308,M2
HIP 72493,222.349230,-67.23597,24.9314,7.26,0.836,K0V
HIP 72509,222.382740,-26.111672,21.9346,12.07,1.524,M
HIP 72511,222.386265,-26.105704,21.9346,11.72,1.48,M
HIP 72567,222.565845,23.911844,18.1719,5.86,0.576,G2V
HIP 72603,222.671595,-15.997237,22.9779,5.15,0.401,F3V
Zubenelgenubi,222.719655,-16.041778,23.2396,2.75,0.147,A3IV
HIP 72659,222.847395,19.10046,6.7123,4.54,0.72,G8V + K4V
HIP 72688,222.918825,-24.304133,17.0271,7.81,1.036,K3V
HIP 72848,223.349085,19.152798,11.5101,6.0,0.841,K2V
HIP 72875,223.423395,23.345173,23.546,8.65,0.934,K3V
HIP 72896,223.464615,23.555766,10.1626,11.53,,
HIP 72944,223.621800,16.101062,9.6534,10.11,1.5,M2Ve
HIP 72981,223.722855,9.943489,24.5218,11.28,1.377,K:
HIP 73005,223.797645,53.680347,23.3863,7.77,0.785,K1V
HIP 73182,224.360415,-21.41152,5.9252,8.01,1.519,K5V
HIP 73184,224.366475,-21.415475,5.8404,5.72,1.024,K4V
HIP 73194,224.388630,-6.330241,24.5038,11.43,1.408,M0
HIP 73241,224.536680,-48.863011,23.8493,6.34,0.708,G5V
HIP 73252,224.565570,59.583463,24.7647,10.2,1.565,M0p
HIP 73362,224.882520,-44.094754,24.5158,10.17,1.318,K7V
HIP 73457,225.180885,-11.135129,19.3424,9.49,1.372,K7V
HIP 73470,225.231330,45.426209,11.7938,9.15,1.427,M0
HIP 73633,225.775395,-41.992559,24.57,8.98,1.145,K3V
HIP 73695,225.947610,47.65406,12.5078,4.83,0.647,G2V + G2V
HIP 73734,226.078740,60.384586,17.854,11.0,1.5,M:
HIP 73786,226.223040,5.638097,18.5874,9.83,1.3,K5
HIP 73996,226.825230,24.869195,19.5542,4.93,0.429,F5V
HIP 74190,227.398305,3.166823,14.453,11.46,1.511,M:
HIP 74261,227.649075,-42.976987,24.2365,10.63,1.406,M0
HIP 74273,227.686920,-61.42232,24.2014,6.29,0.623,G3IV
HIP 74537,228.462060,-1.351387,17.671,6.58,0.763,K0V
HIP 74702,228.996525,0.796362,15.8453,6.92,0.83,K0
HIP 74995,229.861800,-7.72228,6.2147,10.57,1.6,M5
HIP 75181,230.452605,-48.317628,14.8126,5.65,0.639,G2V
HIP 75187,230.470530,20.977756,11.4116,10.66,2.1,M9
HIP 75201,230.517090,-4.777454,18.8964,9.46,1.31,K7V
HIP 75253,230.652900,-10.661123,22.1141,7.97,0.97,K2V
HIP 75277,230.695170,18.91896,19.604,7.16,0.804,K0
HIP 75312,230.801250,30.287812,17.8635,4.99,0.577,G2V
HIP 75542,231.493995,-26.705782,24.0964,8.82,1.045,K3/K4V
HIP 75710,232.005435,25.789966,24.5519,11.07,1.61,M0
HIP 75718,232.040040,-9.348069,20.5846,6.89,0.788,K2V
HIP 75722,232.050870,-9.35786,20.4918,7.57,0.868,K2V
HIP 75798,232.279905,-17.381786,24.8942,10.53,1.423,
HIP 75807,232.292445,-6.973433,14.5582,12.47,,
HIP 75809,232.299345,80.448602,21.8484,6.57,0.665,G8IV-V+...
HIP 75829,232.350960,80.450267,21.5146,7.3,0.803,G5
HIP 76074,233.054820,-41.275586,5.9291,9.31,1.524,M0
Alphecca,233.671920,26.714693,23.0097,2.22,0.032,A0V
HIP 76315,233.833095,60.086992,19.1058,8.39,1.063,K5
HIP 76362,233.948280,-80.202211,13.0873,11.65,,
HIP 76375,233.986020,39.831117,22.3764,7.65,0.946,K3V
HIP 76382,234.009615,39.802473,22.3065,6.78,0.906,K2V
HIP 76602,234.666450,-8.794714,24.3962,6.56,0.52,F6IV-V
HIP 76779,235.144020,-18.049027,15.5569,8.92,1.296,K5V
HIP 76829,235.297575,-44.661205,17.4368,4.64,0.413,F5IV-V
HIP 76832,235.313145,75.992789,13.3103,12.22,1.65,M4
HIP 76901,235.527480,-19.471772,10.4275,11.83,1.591,M5
HIP 77052,236.007585,2.515173,14.6585,5.86,0.684,G5V
Unukalhai,236.066970,6.425627,22.6757,2.63,1.167,K2III
HIP 77257,236.610900,7.353073,12.1242,4.42,0.604,G0Vvar
HIP 77268,236.633250,-47.233505,21.5564,10.63,1.309,M0:
HIP 77349,236.852715,-10.896501,15.1035,11.27,1.565,K:...
HIP 77358,236.871525,-37.916312,15.3539,6.01,0.715,G6IV
HIP 77408,237.039435,1.571739,21.2902,7.44,0.801,G8V
HIP 77514,237.401685,51.049193,19.073,12.84,2.2,M:
HIP 77622,237.704025,4.47773,21.5983,3.71,0.147,A2m
HIP 77725,238.034325,10.874474,22.4669,9.34,1.385,M2
HIP 77760,238.168545,42.451518,15.8932,4.6,0.563,F9V
HIP 77801,238.300410,13.196623,17.3491,6.07,0.598,G0IV
HIP 77908,238.660185,-26.004185,24.3902,9.2,1.234,K5V
HIP 77952,238.786245,-63.430727,12.3778,2.83,0.315,F2III
HIP 78072,239.113230,15.661617,11.2537,3.85,0.478,F6V
HIP 78170,239.419995,-42.624235,14.7319,8.06,1.118,K5V
HIP 78353,239.972430,-8.253199,13.8985,10.49,1.497,M0
HIP 78459,240.261180,33.303509,17.2354,5.39,0.612,G2V
HIP 78527,240.472980,58.565251,21.0349,4.01,0.528,F8IV-V
HIP 78709,241.015590,25.254843,22.2173,7.1,0.771,G8V
HIP 78734,241.096605,-33.061034,22.899,10.08,1.345,
HIP 78739,241.111320,-11.449882,22.5989,8.02,0.85,K2V
HIP 78775,241.237035,39.156509,14.5201,6.66,0.734,G8V
HIP 78843,241.418580,-20.45006,18.7126,7.39,1.043,K3/K4V
HIP 78913,241.623165,38.63224,23.5018,8.58,0.963,K3V
HIP 79126,242.262765,52.943874,16.9291,10.24,1.585,M0
HIP 79190,242.428575,-56.445149,14.6692,7.11,0.856,K3V
HIP 79248,242.601180,43.817645,17.5716,6.61,0.877,K0V
Sharjah,243.174060,-18.875503,14.3968,11.34,1.486,
HIP 79492,243.326865,13.526911,23.5849,6.68,0.764,G8V
HIP 79537,243.454125,-57.57051,13.887,7.53,0.815,K0V
HIP 79551,243.484590,33.773418,22.0264,12.23,,M
HIP 79578,243.549750,-31.663651,21.5517,6.55,0.646,G1V
HIP 79607,243.670350,33.858613,21.0793,5.23,0.599,F8V
HIP 79672,243.905280,-8.369442,13.9005,5.49,0.652,G1V
HIP 79755,244.180020,67.238846,10.6872,8.61,1.409,M0Vvar
HIP 79762,244.190670,67.256247,10.7423,10.69,1.5,M3
HIP 79796,244.272315,55.269184,20.5339,9.87,1.251,M1.5Ve
HIP 80018,245.015115,-37.529011,8.3438,10.56,1.55,M4
HIP 80093,245.219760,40.961448,15.7183,8.99,1.286,M0
HIP 80229,245.671380,-48.655557,23.9406,11.82,1.45,M3
HIP 80268,245.781930,-24.709784,16.4393,10.23,1.458,M2
HIP 80300,245.890935,-39.22949,13.1579,11.01,-0.165,DA
HIP 80337,246.005325,-39.19298,12.7779,5.37,0.625,G3/G5V
HIP 80346,246.037440,48.352905,8.0567,10.27,1.475,M3
HIP 80366,246.082560,-13.641659,21.5239,8.4,0.95,K2V
HIP 80381,246.113895,-43.656579,19.6078,9.99,1.239,K5
HIP 80383,246.119205,-43.658514,17.059,11.06,0.983,
HIP 80440,246.304290,-21.93737,18.2715,10.4,1.444,K5
HIP 80459,246.351840,54.304103,6.5164,10.13,1.591,M2
HIP 80612,246.888450,-10.007904,22.8728,10.82,1.448,M1V:
HIP 80644,246.987120,7.305449,17.5193,8.83,1.253,K5
HIP 80686,247.116330,-70.084401,12.1168,4.9,0.555,F9V
HIP 80725,247.219485,18.414055,19.658,6.98,0.848,K2V
HIP 80817,247.554585,-14.663791,22.4316,12.27,1.474,
Wolf 1061,247.575255,-12.662594,4.2922,10.1,1.604,M4
HIP 80925,247.875420,-39.012275,24.5278,7.24,0.858,K0V
HIP 81018,248.188335,12.612768,16.7701,12.13,1.47,K:
HIP 81262,248.960040,-53.757057,22.9043,8.78,1.096,K4V
HIP 81300,249.089370,-2.324584,9.7513,5.77,0.827,K2V
HIP 81375,249.285120,0.254342,20.3335,7.09,0.828,K0
HIP 81520,249.767745,-58.258203,22.4517,7.01,0.616,G3V
HIP 81563,249.875670,50.567621,21.0704,11.88,1.77,K:
HIP 81655,250.203810,36.316701,19.2197,11.45,,
HIP 81693,250.321695,31.602726,10.7158,2.81,0.65,F9IV
HIP 81935,251.062590,-38.943634,14.2633,7.52,1.024,K2V
HIP 82003,251.276475,33.509229,9.8078,8.1,1.31,K7V
HIP 82099,251.557320,16.478015,16.0823,11.74,2.4,M:
HIP 82256,252.104760,-72.976083,15.8806,11.36,1.6,M
HIP 82257,252.106515,59.056309,10.6338,12.24,0.16,DA
HIP 82283,252.191505,-15.738939,18.2282,10.89,1.468,
HIP 82333,252.352845,39.276238,23.2342,9.67,1.264,M0
Larawag,252.541200,-34.293232,19.5351,2.29,1.144,K2IIIb
HIP 82588,253.245015,-0.026421,17.2503,6.65,0.749,G8V
HIP 82694,253.550160,11.914681,19.4742,10.75,1.405,M1
HIP 82724,253.632945,-62.399734,3.6964,11.85,1.729,Mp
HIP 82725,253.634565,-62.403319,4.1465,11.72,,
HIP 82809,253.855125,-8.322576,6.715,11.73,1.7,M4
HIP 82817,253.869840,-8.336344,6.1954,9.02,1.553,M3Ve
HIP 82834,253.908330,-32.067699,18.2548,9.58,1.378,K4/K5V
HIP 82860,254.006250,65.134796,15.2579,4.88,0.481,F6Vvar
HIP 82926,254.202315,-39.093925,15.7828,11.18,1.51,M3Ve+...
HIP 83006,254.426115,47.362144,17.7999,7.93,1.004,K0
HIP 83020,254.471760,47.366688,18.305,7.76,0.98,K0
HIP 83043,254.536905,25.74416,10.3445,9.7,1.522,M2
HIP 83101,254.725020,-39.55855,19.1131,8.33,1.181,K3/K4V
HIP 83389,255.651540,47.081881,18.5874,6.76,0.728,G8V
HIP 83405,255.706605,-6.06839,18.9286,10.86,1.237,M2
HIP 83451,255.828585,59.585359,24.0442,8.61,1.019,K4V...
HIP 83454,255.833250,59.587799,23.5183,10.34,1.369,K0
HIP 83541,256.115985,-28.582678,17.838,6.59,0.814,K1V
HIP 83591,256.264155,-5.066508,10.7066,7.7,1.1,K5V
HIP 83599,256.307415,-5.094228,10.5719,10.08,1.476,M0V
HIP 83601,256.320075,0.702559,20.6654,6.0,0.578,F9V
HIP 83609,256.336515,-33.767358,5.6155,9.25,0.607,G0
HIP 83762,256.781280,21.554011,13.3618,11.61,1.56,M3
HIP 83945,257.381115,43.681351,7.4455,11.77,1.696,M3
HIP 83990,257.542950,-60.728771,13.6221,7.38,0.889,K0V
HIP 83988,257.543655,54.494391,19.861,8.85,1.152,K0
HIP 83996,257.551335,54.49014,20.2184,9.34,1.257,K8
HIP 84051,257.746860,-52.515508,12.4735,10.05,1.457,
HIP 84099,257.894640,38.44276,12.0034,11.54,,
HIP 84123,257.967765,-1.851765,10.1843,11.45,1.6,G
HIP 84140,258.032535,45.665974,5.9776,9.31,1.485,K5
HIP 84143,258.038280,-43.239189,22.5276,3.32,0.441,F3p
HIP 84195,258.156750,18.351193,20.9644,7.95,0.941,K0
HIP 84212,258.213630,-5.125371,19.9601,11.61,1.49,K
HIP 84277,258.418650,-8.420772,18.7231,12.0,1.548,M1V:
Sarin,258.757965,24.839204,23.0362,3.12,0.08,A3IVv SB
Guniibuu,258.837540,-26.602829,5.9333,4.33,0.855,K2:III:
HIP 84460,259.002660,11.057666,17.7936,11.01,1.773,M2.5
HIP 84478,259.055820,-26.546147,5.9705,6.33,1.144,K5V
HIP 84521,259.170750,8.058392,14.9076,11.49,1.517,M3.5
HIP 84581,259.347990,-7.876427,9.6824,11.09,,
HIP 84607,259.418730,29.227226,24.4738,8.43,1.015,K2
HIP 84616,259.460070,52.447114,18.3251,7.93,1.019,K2
HIP 84652,259.590540,-1.781468,19.2827,10.59,1.44,K7
HIP 84709,259.737630,-34.989792,6.8357,5.91,1.082,K4V
HIP 84720,259.764825,-46.636235,8.802,5.47,0.764,M0V
HIP 84790,259.969410,41.713822,12.3808,11.37,1.56,M4
HIP 84794,259.975905,26.500848,11.5915,11.26,1.628,M4
HIP 84862,260.164800,32.467743,14.3266,5.38,0.619,G0V
HIP 84893,260.251515,-21.112933,17.3551,4.39,0.394,F2/F3V
HIP 85042,260.713695,-2.388176,19.5236,6.28,0.68,G5IV
HIP 85126,260.955195,-32.254517,23.9349,11.64,1.47,M
HIP 85235,261.252465,67.306705,12.8025,6.44,0.759,K0V
HIP 85295,261.438465,2.111422,7.7006,7.54,1.359,K7V
HIP 85523,262.165800,-46.89519,4.5405,9.38,1.553,K5
HIP 85561,262.277385,-23.836117,18.8608,9.61,1.272,K5V
HIP 85582,262.333710,29.391925,23.7586,8.99,1.143,K2
HIP 85605,262.401030,24.654069,6.8101,11.39,1.101,
HIP 85647,262.547070,-51.636977,16.4501,9.58,1.46,M0
HIP 85653,262.568235,47.402203,22.2668,7.22,0.737,G5
HIP 85665,262.594695,5.54852,9.9771,9.33,1.461,M1V...
HIP 85667,262.599150,-1.062922,16.3425,5.31,0.715,G8IV-V
HIP 85810,263.004255,34.271147,23.9177,6.52,0.639,G5V
Rasalhague,263.733615,12.560035,14.8965,2.08,0.155,A5III
HIP 86036,263.747550,61.874554,14.1904,5.23,0.602,G0V
HIP 86057,263.806635,-48.680866,9.7248,10.13,1.543,K5
HIP 86087,263.892960,61.681564,14.0984,9.98,1.456,M1
HIP 86141,264.055155,71.878358,19.3874,8.55,1.089,K5
HIP 86162,264.109245,68.339141,4.5282,9.15,1.505,M3.5Vvar
HIP 86201,264.237885,68.75797,23.1642,4.77,0.43,F5V
HIP 86214,264.265935,-44.319215,5.0787,10.94,1.655,M5
HIP 86282,264.452940,22.955579,22.1582,9.29,1.36,M0...
HIP 86287,264.472155,18.591709,8.086,9.62,1.53,M1
HIP 86340,264.642720,71.332317,24.975,9.1,1.117,M0
HIP 86400,264.820485,3.555239,10.9999,6.53,0.959,K3V
HIP 86423,264.877965,27.762225,24.9688,11.07,,
HIP 86486,265.099140,-49.415587,21.45,4.76,0.415,F3IV
HIP 86489,265.111305,-43.865743,24.7954,10.66,,
Dziban,265.484670,72.148843,22.8363,4.57,0.434,F5IV-V
Dziban B,265.491915,72.156911,23.0627,5.81,0.53,G0V
HIP 86707,265.753335,5.789329,19.9641,10.68,1.507,M2
HIP 86722,265.815210,21.609209,22.6501,7.51,0.752,K0V
HIP 86736,265.857495,-21.683194,17.6523,4.86,0.469,F6/F7V
HIP 86776,265.983165,43.378612,9.4787,10.49,1.528,M3
Cervantes,266.036280,-51.834053,15.5111,5.12,0.694,G5V
HIP 86916,266.389800,46.855362,21.4915,10.69,1.045,M1
HIP 86961,266.552640,-32.103551,14.6434,10.49,1.463,M2V:
HIP 86963,266.560095,-32.102313,13.1337,11.39,1.439,M2V:
HIP 86974,266.614785,27.720676,8.3105,3.42,0.75,G5IV
HIP 86990,266.644935,-57.319042,5.8316,10.75,1.66,M5
HIP 87322,267.641805,-6.050285,21.7912,10.17,1.419,M0V
HIP 87579,268.374750,21.325292,24.3546,8.5,0.94,K0
HIP 87784,268.979520,-70.52712,24.2131,10.97,1.015,
Barnard's Star,269.452080,4.693388,1.8238,9.54,1.57,sdM4
HIP 87938,269.462370,46.588641,14.0865,11.79,1.56,M:
HIP 88175,270.120870,-3.690269,23.5516,4.62,0.39,F3V
HIP 88348,270.628485,26.313001,22.119,7.01,0.799,K0V
HIP 88499,271.073250,35.957158,21.1595,10.83,1.48,M2
HIP 88574,271.281570,-3.031319,7.7586,9.37,1.508,M2V
HIP 88601,271.363695,2.500099,5.0834,4.03,0.86,K0V SB
HIP 88622,271.406070,4.657173,23.912,6.8,0.61,G0V
HIP 88694,271.598775,-36.019788,17.5531,5.94,0.615,G3V
HIP 88745,271.756455,30.56214,15.6421,5.05,0.528,F7V
HIP 88945,272.339055,29.951711,24.8201,6.84,0.633,G0
HIP 88972,272.406120,38.457777,11.0241,6.38,0.876,K2V
HIP 88976,272.419650,31.870221,21.4638,11.38,,
HIP 89042,272.609220,-62.002197,17.6118,5.47,0.592,G0V
HIP 89211,273.089010,-43.44485,13.1044,8.38,1.297,K7V
HIP 89348,273.473175,64.397287,22.92,4.99,0.44,F5V
HIP 89474,273.885345,45.209318,22.8206,6.3,0.641,G2V
HIP 89490,273.931635,18.938764,22.7169,10.84,1.5,M2
HIP 89517,274.009380,13.91339,18.1785,10.18,1.404,M0
HIP 89560,274.129545,45.557855,16.9549,10.31,1.428,M0
HIP 89805,274.917090,-63.886562,23.0468,6.17,0.584,F9V
HIP 89825,274.961850,-1.938607,19.5618,9.66,1.35,K7V
HIP 89937,275.261040,72.732843,8.0574,3.55,0.489,F7Vvar
HIP 89962,275.327505,-2.898825,18.5426,3.23,0.941,K0III-IV
HIP 90265,276.269985,24.634582,21.8484,10.85,1.605,K5
HIP 90306,276.383085,38.353523,24.7831,11.28,1.442,M:
HIP 90368,276.595260,46.803836,19.6078,9.76,0.661,F8
Kaus Borealis,276.992685,-25.4217,23.9693,2.82,1.025,K1IIIb
HIP 90656,277.468365,-1.818104,18.615,8.04,1.074,K3V
HIP 90790,277.829025,-18.908812,13.2521,6.81,0.861,K1V
HIP 90945,278.271375,-54.263188,18.4366,8.5,1.115,K4Vp...
HIP 90959,278.324040,22.314252,22.9727,8.9,1.181,K4V
HIP 91009,278.482110,51.71914,16.3532,8.2,1.265,K7Vvar
HIP 91128,278.826150,45.744041,15.5473,9.84,1.415,M2
HIP 91154,278.957730,-61.226904,21.4087,9.34,1.152,K3V
Vega,279.234600,38.783692,7.6787,0.03,-0.001,A0Vvar
HIP 91430,279.686430,-14.490563,12.8866,11.28,1.556,M1V:
HIP 91438,279.722520,-21.051871,13.0839,5.85,0.673,G5V
HIP 91605,280.228650,31.533077,23.5405,8.54,0.865,K3V
HIP 91608,280.238790,-13.379605,16.3532,10.63,1.505,M
HIP 91699,280.496100,31.83049,11.4469,11.27,1.579,M4
Struve 2398 A,280.697685,59.630396,3.5691,8.94,1.504,K5
Struve 2398 B,280.698735,59.626847,3.4545,9.7,1.561,K5
HIP 92043,281.415525,20.546308,19.2086,4.19,0.483,F6V
HIP 92059,281.450490,-34.334304,18.0213,13.16,,Fp
HIP 92200,281.863545,-3.639831,14.2776,8.81,1.295,K5
HIP 92283,282.121770,10.74545,16.8606,7.97,1.07,K0
HIP 92311,282.216180,17.438948,17.001,9.17,1.284,M0
Ross 154,282.455535,-23.836232,2.9698,10.37,1.51,M3.5Ve
HIP 92417,282.503475,3.088114,21.2404,10.73,1.446,M2
HIP 92444,282.588225,-26.923634,16.9291,9.65,1.459,Kp
HIP 92451,282.610770,-62.051034,16.1943,10.74,1.48,M3
HIP 92573,282.963285,16.58328,15.4775,10.16,1.447,M2
HIP 92858,283.828260,-37.498352,24.2072,7.98,0.857,K1V
HIP 92871,283.864215,8.402507,11.773,10.1,1.539,M2Ve
HIP 92919,283.971735,23.55665,21.395,8.16,0.91,K0V
HIP 93017,284.256615,32.901273,14.8721,5.2,0.594,G0V
HIP 93069,284.377500,-55.99189,12.285,8.86,1.433,M2V
HIP 93072,284.386035,-19.046356,23.8209,10.67,1.437,
HIP 93101,284.500575,5.90812,10.9075,9.22,1.444,M2V
HIP 93185,284.712495,30.180645,23.8436,6.8,0.606,G0
HIP 93206,284.780895,-48.274466,14.0944,11.13,1.446,M4
HIP 93449,285.473565,-36.952117,24.432,11.57,,A5IIevar
HIP 93825,286.604565,-37.063437,17.304,4.23,0.523,F7IV-V
HIP 93858,286.718730,-37.810658,16.9549,6.15,0.705,G8V
HIP 93871,286.758510,7.615877,24.777,9.23,1.056,K5V
HIP 93873,286.773255,20.888048,8.5143,10.77,1.57,M2
HIP 93899,286.805100,20.877015,8.7527,10.76,1.57,M2
HIP 93966,286.988835,16.853385,21.4316,6.08,0.705,G5V
HIP 94225,287.717850,-47.158618,20.5804,9.36,1.318,K7V
HIP 94223,287.717970,-48.078712,8.919,10.28,,
HIP 94336,288.021240,49.855755,24.4499,5.85,0.666,G4V+...
HIP 94346,288.046860,57.671981,20.016,7.04,0.804,G8V
HIP 94349,288.060810,2.886404,10.2208,11.09,1.542,M4
HIP 94368,288.105765,-55.868784,21.7439,11.31,1.45,M2
HIP 94557,288.663240,19.317701,19.084,11.56,1.5,M:
HIP 94739,289.178610,-45.889345,16.0979,9.38,1.432,K9V...
HIP 94761,289.230240,5.168904,5.8699,9.12,1.464,M3.5V
HIP 95071,290.145525,-7.66668,10.9517,12.28,0.07,DAw...
HIP 95149,290.373945,-34.983487,18.8324,6.48,0.628,G1/G2V
HIP 95187,290.464005,28.666194,22.4215,11.52,1.42,M1
HIP 95319,290.891685,33.221966,15.7604,6.37,0.804,G8V
HIP 95447,291.242460,11.944415,15.1768,5.17,0.761,G8IVvar
HIP 95501,291.374580,3.114775,15.5255,3.36,0.319,F0IV
HIP 95995,292.784355,58.58601,16.9607,6.6,0.859,K1V
HIP 96085,293.027925,-11.274942,17.6274,7.53,0.922,K2V
Alsafi,293.087235,69.661175,5.7547,4.67,0.786,K0V
HIP 96113,293.126280,-35.45172,21.0084,8.69,1.088,K3/K4V
HIP 96121,293.157990,0.577512,22.4618,10.42,1.406,M1
HIP 96183,293.356470,21.840329,20.5592,6.89,0.745,G5V
HIP 96285,293.665995,4.582516,14.4259,9.35,1.39,K5
HIP 96395,293.981715,56.983901,24.108,6.73,0.636,G0
HIP 96441,294.110580,50.221103,18.3352,4.49,0.395,F4V
HIP 96702,294.887970,71.871987,22.2519,10.94,1.48,M:
HIP 96710,294.900615,-26.751961,23.218,10.49,1.391,
HIP 96895,295.454175,50.52506,21.0793,5.99,0.643,G2V
HIP 96901,295.466745,50.517523,21.2134,6.25,0.661,G5V
HIP 97051,295.855560,10.089512,23.1054,10.0,1.26,M0
HIP 97096,295.987710,-66.294078,17.3974,9.29,1.025,G
HIP 97222,296.389710,33.601985,21.1238,7.68,1.0,K3V
HIP 97223,296.398380,30.010221,20.3169,9.15,1.175,K5V
HIP 97241,296.457090,32.387122,11.4956,10.61,,
HIP 97292,296.599500,32.017051,13.6129,9.74,1.517,M1+...
HIP 97295,296.606655,33.727598,21.2314,5.0,0.476,F5
Altair,297.695820,8.868322,5.1295,0.76,0.221,A7IV-V
HIP 97675,297.756840,10.415727,19.1902,5.12,0.563,F8V
HIP 97944,298.573965,-23.941071,14.0489,6.22,1.017,K3/K4V
Alshain,298.828305,6.406763,13.6986,3.71,0.855,G8IVvar
HIP 98070,298.969350,51.272798,24.7402,12.28,1.928,M2
HIP 98106,299.067360,-72.364298,23.5571,8.4,1.058,K5V
HIP 98130,299.154105,-31.335314,19.044,8.42,1.025,K3/K4V
HIP 98204,299.331840,-12.567985,18.6776,9.29,1.318,K4V
HIP 98316,299.637240,-54.936888,22.2816,8.54,1.05,K3V
HIP 98416,299.947275,-9.958238,22.2025,5.87,0.598,F8V
HIP 98470,300.084315,-33.703452,21.2495,5.65,0.498,F7V
HIP 98505,300.182145,22.710853,19.4515,7.67,0.932,G5
HIP 98677,300.642330,15.592075,18.9717,7.15,0.714,G7V
HIP 98681,300.650205,-50.050134,15.5618,9.92,,
HIP 98698,300.696015,3.326188,12.8601,7.46,1.128,K4V
HIP 98767,300.905595,29.896805,15.8579,5.73,0.749,G6IV+...
HIP 98792,300.967410,23.340686,15.7654,7.28,0.815,K1V
HIP 98819,301.025985,17.070173,17.7683,5.8,0.6,G1V
HIP 98828,301.041870,25.79023,21.9491,7.82,0.924,K3V
HIP 98906,301.261155,54.434242,15.8303,11.98,1.524,M3
HIP 98921,301.290585,38.478457,18.7899,6.18,0.654,G5IV
HIP 98959,301.383240,-67.320897,17.7274,6.07,0.648,G2V
HIP 99031,301.590825,35.972468,23.9464,5.38,0.85,K0IV
HIP 99137,301.896180,-55.016012,23.4302,6.26,0.53,F8V
HIP 99150,301.937295,-31.753991,14.9076,12.19,1.56,M
HIP 99240,302.177355,-66.182068,6.1084,3.55,0.751,G5IV-Vvar
HIP 99316,302.392935,16.805766,23.663,7.56,0.81,K0...
HIP 99385,302.581635,-20.493431,15.6152,8.91,1.296,K4Vp
HIP 99427,302.717910,77.238971,16.9262,8.88,1.32,K5
HIP 99438,302.736990,-30.218511,16.3693,12.18,0.07,
HIP 99452,302.775345,16.188,20.3915,7.34,0.83,K1V
HIP 99461,302.799480,-36.101212,6.015,5.32,0.868,K2V
HIP 99550,303.039390,-12.893157,23.6072,11.3,1.424,
HIP 99701,303.471690,-45.164019,6.1981,7.97,1.431,M0V
HIP 99711,303.499350,-0.866877,19.3162,7.79,0.938,K0
HIP 99764,303.617460,-7.281975,20.2716,10.19,1.351,K7V
HIP 99825,303.822090,-27.032977,8.9111,5.73,0.878,K3V
HIP 99880,303.969285,42.979058,24.6427,9.98,1.266,M0
HIP 100017,304.378770,66.853687,17.5685,5.91,0.602,G3V
HIP 100223,304.904295,-46.428118,17.9147,8.73,1.167,K5V
