name,ra,dec,dist,mag,ci,spect
HIP 47201,144.297285,22.694142,21.9443,9.43,1.273,M0V:
HIP 47395,144.851295,31.75472,24.0096,11.77,,
HIP 47425,144.943620,-41.067557,9.467,10.72,1.521,M:
HIP 47513,145.293195,13.209566,11.26,10.38,1.49,M2
HIP 47592,145.560165,-23.915569,15.0128,4.93,0.534,G0V
HIP 47619,145.648710,-19.234752,15.7555,11.94,1.525,
HIP 47620,145.648320,70.033886,12.2895,10.56,1.463,M3
HIP 47650,145.718685,70.039415,11.3546,11.19,1.488,M4
HIP 47690,145.856880,42.691559,18.2183,8.13,1.133,K5V
HIP 47741,145.981890,26.969006,14.0272,12.08,1.542,M:
Añañuca,146.124795,-45.776513,9.8707,10.22,1.53,M1:
HIP 47839,146.265285,-49.485354,24.9004,7.92,0.53,F8/G0V
HIP 47890,146.417100,-39.040738,20.2102,12.05,1.57,
HIP 47981,146.701365,76.043924,16.2127,10.64,1.382,M2
HIP 48113,147.147150,46.021008,18.3688,5.08,0.619,G2V
HIP 48190,147.365385,-55.335691,20.9644,10.3,1.453,M2V:
HIP 48331,147.778950,-43.502787,11.1582,7.67,1.156,K5V
HIP 48336,147.790095,-12.329856,13.7137,10.04,1.446,M0
HIP 48411,148.047345,3.221842,20.4708,8.86,1.23,K5
HIP 48447,148.163175,3.13016,22.748,10.57,1.429,K4
HIP 48477,148.299090,-3.690111,16.0436,10.53,1.503,M0
HIP 48502,148.367010,-31.752222,24.1255,10.19,1.375,M0V
HIP 48659,148.849455,-27.261306,11.3225,12.04,1.635,
HIP 48714,149.037000,62.788463,10.5619,8.99,1.438,M2
HIP 48904,149.642490,-46.425121,15.456,11.27,1.555,M5
HIP 49081,150.252960,31.923672,15.0466,5.37,0.676,G1V
HIP 49091,150.295185,-30.390144,16.2893,11.43,1.485,M4
HIP 49189,150.591390,48.088806,15.0966,10.03,1.359,M2
HIP 49366,151.156920,-11.729703,24.0327,8.15,0.891,K0
HIP 49376,151.210890,-31.091099,22.9938,11.99,0.938,
HIP 49526,151.682805,41.714626,20.6654,11.32,1.492,M:
HIP 49544,151.736925,2.964412,22.5581,9.95,1.347,M0
Regulus,152.092980,11.967207,24.3132,1.36,-0.087,B7V
HIP 49699,152.179785,34.24226,18.205,7.56,0.965,K0
HIP 49868,152.742300,75.141361,21.5285,9.48,1.335,M0
HIP 49908,152.844030,49.454237,4.8731,6.6,1.326,K8V
HIP 49969,153.019545,-2.684732,12.3335,10.64,1.566,M0
HIP 49971,153.022365,47.839555,18.7935,12.47,,
HIP 49973,153.034095,-18.617799,17.1821,9.93,1.413,K7V
HIP 49986,153.073620,-3.745662,7.8691,9.26,1.487,M3
HIP 50075,153.353220,-33.031722,22.8467,6.38,0.592,G0V
HIP 50125,153.488955,52.506724,23.0947,9.53,1.112,K5
HIP 50156,153.579930,21.074877,23.084,10.01,1.247,M0Ve
HIP 50341,154.191480,-11.961779,13.6426,10.99,1.506,M0
HIP 50384,154.310670,23.10622,22.805,5.81,0.5,F8Vw
HIP 50505,154.716390,44.048323,20.2388,6.66,0.653,G5
HIP 50564,154.934070,19.470914,21.3675,4.78,0.452,F6IV
HIP 50636,155.135265,-23.644523,12.0019,10.65,0.678,K1III
HIP 50808,155.601645,-60.177133,19.9005,10.52,1.44,M
HIP 50921,155.980320,-29.645529,22.3514,6.92,0.659,G5V
HIP 50954,156.098880,-74.031612,16.2232,3.99,0.369,F2IV
HIP 51007,156.295185,-10.228694,12.3457,10.15,1.459,M0
HIP 51248,157.016070,48.784901,22.9095,6.42,0.61,G1V
HIP 51271,157.098075,-51.705262,23.9636,8.9,1.045,K4V
HIP 51317,157.231470,0.841,7.0671,9.65,1.507,M2
HIP 51459,157.656915,55.980536,12.7796,4.82,0.541,F8V
HIP 51468,157.696845,59.751098,23.4467,8.74,1.15,K5
HIP 51473,157.711980,-35.777571,24.6184,11.22,1.446,
HIP 51502,157.770720,82.558587,21.5008,5.25,0.399,F2V
HIP 51523,157.841625,-53.715484,21.8103,4.89,0.5,F6V
HIP 51525,157.851495,45.526051,15.7356,8.85,1.33,K7V
HIP 51547,157.930245,57.115862,17.9115,9.63,1.361,M0
HIP 51819,158.796510,84.399322,20.7297,7.29,0.819,K0
HIP 52186,159.919035,-6.923758,16.4474,11.28,1.503,M
HIP 52190,159.934665,-37.920428,13.9841,11.02,1.529,
HIP 52296,160.288755,-36.895438,16.3372,9.97,1.464,M0V
HIP 52341,160.466040,-36.633372,16.1838,10.19,1.46,K7V
HIP 52369,160.555485,-13.787713,23.8265,6.79,0.622,G2/G3V
HIP 52462,160.867875,-29.064284,21.3995,7.72,0.873,K1V
HIP 52596,161.319570,-30.807492,14.0036,11.22,1.503,
HIP 52600,161.339565,38.511762,13.9159,9.16,1.416,M2
HIP 52621,161.413305,-19.114346,20.02,11.03,1.428,M
HIP 52708,161.653800,-24.585481,21.51,9.37,1.165,K5V
HIP 53020,162.716955,6.808149,6.7604,11.64,1.679,M4:
HIP 53327,163.613775,76.065751,22.6912,9.48,1.097,K8V:
HIP 53486,164.128335,7.388474,17.304,7.37,0.92,K0
HIP 53580,164.411580,69.596611,22.8206,10.28,1.352,M0
Chalawan,164.866800,40.430257,14.0627,5.03,0.624,G0V
HIP 53767,165.017820,22.832962,6.6622,10.03,1.525,M3
Merak,165.460155,56.382427,24.4499,2.34,0.033,A1V
HIP 53985,165.659730,21.96714,11.7716,9.57,1.437,K
Lalande 21185,165.834480,35.969877,2.5469,7.49,1.502,M2V
HIP 54211,166.373130,43.526777,4.848,8.82,1.491,M2Vvar
HIP 54227,166.429725,10.235957,19.6464,12.37,1.572,K:
HIP 54373,166.865460,-19.291489,18.6881,10.38,1.43,K5
HIP 54426,167.058540,38.426631,22.5785,8.35,0.942,K0
HIP 54532,167.380800,-24.598643,10.7527,10.44,1.529,M:
HIP 54646,167.771325,30.446017,11.8723,8.31,1.255,K8V
HIP 54651,167.794635,-10.950887,20.2511,9.23,1.083,K5V
HIP 54658,167.831730,43.417337,16.9033,10.92,1.632,M4
HIP 54677,167.887950,-14.991388,21.5703,9.06,1.203,K4V
HIP 54704,168.004890,-26.136667,22.1435,7.05,0.76,G8/K0V
HIP 54745,168.134940,35.81408,21.925,6.41,0.6,G0V
HIP 54810,168.305145,4.482345,18.2815,8.7,1.179,K5V
Zosma,168.527070,20.523717,17.9147,2.56,0.128,A4V
HIP 54906,168.638205,25.710385,21.1149,7.76,0.845,K1V
HIP 54922,168.700770,-23.10492,23.0468,9.02,1.108,K4V
HIP 54952,168.802065,73.475206,14.6456,7.68,1.043,K5
HIP 54963,168.831525,-18.145799,15.9923,10.02,1.34,K7V
HIP 54966,168.837000,-18.145042,14.2633,9.97,1.34,K7V
HIP 55042,169.006035,-57.547669,12.6727,11.66,1.49,M
HIP 55052,169.028400,-30.178175,23.2072,10.35,1.226,
HIP 55066,169.092300,-14.69337,17.9147,9.98,1.401,K7V
HIP 55119,169.281210,-27.813529,17.6929,9.78,1.383,M0V
HIP 55210,169.591710,-5.067302,21.5703,7.29,0.732,G8V
HIP 55360,170.030460,65.846487,8.9182,9.31,1.412,M1Vvar
HIP 55454,170.361075,-20.453783,13.1631,8.57,1.34,K4/K5V
HIP 55625,170.935755,8.563491,21.363,11.18,1.482,M1V:
HIP 55642,170.981040,10.529509,23.6742,4.0,0.423,F2IV SB
HIP 55691,171.169365,-61.647566,13.7137,7.22,1.271,K7V+...
HIP 55718,171.249165,40.003524,23.0415,10.23,1.36,M0
HIP 55846,171.688845,3.013102,17.7462,6.49,0.778,K0IV
HIP 55848,171.692820,3.006328,17.9565,7.58,1.002,K2V
HIP 56153,172.647045,-57.133872,22.8571,8.34,1.046,K4V
HIP 56157,172.674285,-8.095262,13.2013,11.98,1.548,
HIP 56199,172.804350,63.157533,22.5276,9.98,1.315,M0
HIP 56238,172.930920,22.667136,15.8932,10.31,1.439,
HIP 56242,172.937295,14.364505,23.3263,6.27,0.57,G0V
HIP 56244,172.944375,-41.046439,10.3563,11.55,1.635,M
HIP 56284,173.079150,-16.968708,22.805,11.45,1.474,
HIP 56452,173.623170,-32.83134,9.5593,5.96,0.811,K0V
HIP 56466,173.658300,-23.870877,17.7368,11.16,1.505,
HIP 56528,173.862315,-32.539972,8.8826,9.81,1.489,M2V
HIP 56630,174.170055,39.190625,24.1429,10.01,1.29,M0
HIP 56662,174.271320,29.799539,15.8078,12.49,-0.072,DA
HIP 56809,174.687690,45.108416,23.2504,6.29,0.566,G0V
HIP 56829,174.748935,42.328806,19.9243,8.22,0.98,K5V
